busid,load ratio,zone,lon,lat,bustype,UPV,DPV,Wind,Storage
54,0.2,A,-78.352,43.125,1,0,0.5,0,0
55,9.39,A,-78.591,42.996,2,0.5,0,0.24,0.12
56,1.72,A,-78.743,43.312,2,0.2,0,0.23,0.33
57,2.4,A,-79.125,42.911,2,0.2,0.25,0.23,0.33
58,0.84,A,-79.133,42.714,1,0,0.25,0,0
59,7.05,A,-78.797,42.561,1,0,0,0,0
60,0,A,-79.315,42.33,2,0.1,0,0.3,0.22
61,2.37,A,-78.828,42.234,2,0,0,0,0
52,1.95,B,-77.482,43.312,1,0,0,0,0
53,7.28,B,-77.777,42.889,1,0,1,0,0
62,0,B,-78.255,42.708,2,1,0,1,1
50,0,C,-76.333,43.306,2,0,0,0,0
51,7.31,C,-76.261,42.939,2,0.2,0.35,0.45,0.33
63,0,C,-77.824,42.42,1,0,0,0,0
64,1.43,C,-77.592,42.409,1,0,0,0,0
65,0.91,C,-76.978,42.629,2,0.4,0.15,0.5,0.5
66,0,C,-76.203,41.862,1,0,0,0,0
67,0,C,-77.041,41.952,1,0,0,0,0
68,2.11,C,-76.714,42.15,1,0,0.15,0,0
70,0,C,-75.988,42.014,1,0,0,0,0
71,3.71,C,-75.789,42.33,2,0.4,0.35,0.05,0.17
72,0,C,-76.093,42.635,1,0,0,0,0
48,0,D,-74.821,44.846,2,0,0,1,1
49,2.08,D,-74.134,44.699,1,0,1,0,0
38,0,E,-74.88,42.336,1,0,0,0,0.33
43,0,E,-75.24,42.894,1,0,0,0,0
44,0,E,-75.136,43.013,1,0,0,0,0
45,2.56,E,-75.24,43.131,2,1,0.33,0.7,0.67
46,0.23,E,-75.051,44.428,1,0,0.33,0,0
47,5.28,E,-75.211,44.654,2,0,0.34,0.3,0
69,0,E,-75.397,42.009,1,0,0,0,0
37,0,F,-73.923,42.494,1,0,0,0,0.415
40,0,F,-74.066,42.646,1,0,0,0,0
41,7,F,-73.78,43.086,1,0,0.3,0,0
42,1.77,F,-73.628,42.702,2,1,0.7,1,0.585
39,1,G,-74.001,42.042,2,0.3,0,0.3,0.3
73,1,G,-73.641,41.58,1,0,0.35,0,0
75,0.5,G,-74.861,41.078,1,0,0.15,0,0
76,0.5,G,-74.311,41.174,1,0,0.15,0,0
77,2,G,-74.12,41.36,2,0.7,0.35,0.7,0.7
74,1.02,H,-73.769,41.304,3,0,1,1,1
78,20,I,-73.424,40.773,1,0,1,0,1
81,0,J,-73.775,40.491,1,0,0.5,0,0.34
82,0,J,-73.783,40.745,2,0,0.5,0,0.66
79,3,K,-73.264,40.379,1,0.5,0.5,0.5,0.625
80,4,K,-73.145,40.852,1,0.5,0.5,0.5,0.375
82,,J_OSW,,,,,,1,
80,,K_OSW,,,,,,0.5,
79,,K_OSW,,,,,,0.5,