Case,A,B,C,D,E,F,G,H,I,J,K,,,,
Reference_LBW,2692,390,1923,1935,1821,1864,606,303,0,0,121,8761,8761,909,11655
Reference_OSW,0,0,0,0,0,0,0,0,0,8250,6488,9000,0,0,14738
CLCPA_LBW,10815.9,1566.9,7726.2,7774.5,7316.4,0,0,0,0,0,0,35199.9,35199.9,0,35199.9
CLCPA_OSW,0,0,0,0,0,0,0,0,0,14957.8,6105.2,21063,0,0,42126
Reference_BTM,470,146,398,46,449,552,456,40,60,448,565,3630,1509,556,3630
CLCPA_BTM,1297,402,1098,127,1240,2154,2270,202,299,1676,2883,5440,4164,2771,13648
UPV,14440,1648,9006,0,5698,15647,3353,0,0,0,1441,19631,30792,3353,51233
Battery,2479,10,2538,2562,892,4727,150,140,140,4263,1924,19825,8481,430,19825
Hydro,2460,63.8,109.4,909.8,376.3,269.6,75.8,0,0,0,0,,,,
LoadS2,2375.2,1463.3,2262.4,706.3,1112.3,1726.7,1609.1,453.5,856.7,7528,3594.3,,,,